ts_utc,okx_usdt_oi,okx_usd_oi,okx_ls_ratio,dvol,deribit_oi
2026-08-20T19:33:14+00:00,3012741.850000017,4861637.0,1.04,39.01,815418130.0
2026-08-20T19:53:34+00:00,3018328.4900000165,4860816.500000001,1.04,39.02,816335020.0
2026-08-20T20:01:51+00:00,3016929.3800000157,4861328.8,1.04,39.06,816579320.0
2026-08-20T20:39:00+00:00,3011038.1600000146,4851581.4,1.04,39.17,818478220.0
2026-08-20T20:56:33+00:00,3014602.9400000144,4844482.800000001,1.03,39.25,818047110.0
2026-08-20T21:00:11+00:00,3013245.8000000142,4841980.700000001,1.03,39.25,818058440.0
2026-08-20T21:15:26+00:00,3018232.0800000145,4832859.700000001,1.03,39.25,817980520.0
2026-08-20T21:30:11+00:00,3018985.7000000137,4831398.4,1.02,39.3,818090910.0
2026-08-20T22:24:33+00:00,3014182.810000014,4809052.4,1.01,39.29,818288260.0
2026-08-20T22:30:23+00:00,3013793.1100000134,4815835.000000001,1.01,39.3,818388520.0
2026-08-20T22:45:12+00:00,3011683.850000013,4813669.800000001,1.01,39.34,818677320.0
2026-08-20T23:00:38+00:00,3009400.0300000133,4812160.400000001,1.01,39.4,819856340.0
2026-08-20T23:15:30+00:00,3011493.420000014,4812841.500000001,1.0,39.4,820301760.0
2026-08-20T23:30:13+00:00,2990464.6500000115,4801631.600000002,1.03,39.48,822263860.0
2026-08-20T23:45:34+00:00,3000953.140000012,4814276.300000002,1.03,39.53,824270620.0
2026-08-21T00:00:13+00:00,3006127.330000014,4801799.000000002,1.02,39.43,824524680.0
2026-08-21T00:19:51+00:00,3036073.710000012,4772668.1000000015,1.04,39.33,827816710.0
2026-08-21T00:30:33+00:00,3062966.8300000145,4778388.6000000015,1.03,39.32,828396130.0
2026-08-21T00:45:27+00:00,3073793.350000013,4769309.6000000015,1.02,39.16,827768140.0
2026-08-21T01:00:28+00:00,3085584.790000013,4776086.700000001,1.02,39.27,829065860.0
2026-08-21T01:15:37+00:00,3088870.0500000124,4782232.700000001,1.02,39.41,831329340.0
2026-08-21T01:30:38+00:00,3052711.340000013,4778707.800000001,1.07,39.97,836022090.0
2026-08-21T01:45:17+00:00,3045273.4400000153,4760768.700000001,1.07,39.73,834277800.0
2026-08-21T02:00:28+00:00,2985753.2400000133,4746813.500000003,1.08,40.06,840978150.0
2026-08-21T02:15:52+00:00,2984788.6100000124,4740940.200000001,1.09,39.85,839489690.0
2026-08-21T02:30:31+00:00,2994428.640000012,4751987.700000001,1.09,40.0,839443880.0
2026-08-21T02:46:02+00:00,2980151.240000012,4761192.800000001,1.09,39.98,839801050.0
2026-08-21T03:01:09+00:00,2982673.400000013,4749461.6,1.07,39.98,842262050.0
2026-08-21T03:16:55+00:00,2974745.6600000146,4751032.7,1.08,40.53,841245790.0
2026-08-21T03:30:32+00:00,2994569.1000000145,4753873.700000001,1.1,40.69,841747830.0
2026-08-21T03:45:35+00:00,3029343.1600000146,4760033.2,1.1,40.65,843957580.0
2026-08-21T04:00:29+00:00,3035027.0500000142,4765607.9,1.11,40.56,844728220.0
2026-08-21T04:15:44+00:00,3023728.540000013,4757994.100000001,1.1,40.12,845337470.0
2026-08-21T04:34:46+00:00,3019422.2600000137,4749279.800000001,1.08,40.37,845507650.0
2026-08-21T04:48:58+00:00,3021576.3600000134,4756653.200000001,1.07,40.55,845542310.0
